协议,模型,模型目录,口径,维度,1000题分数总和,维度均分_分母1000
old,OPSD Step1192,opsd_step1192,B_single_zero,对话意愿,4330,4.33
old,OPSD Step1192,opsd_step1192,B_single_zero,情绪愉悦度,4031,4.031
old,OPSD Step1192,opsd_step1192,B_single_zero,意图判断准确,4800,4.8
old,OPSD Step1192,opsd_step1192,B_single_zero,记忆信息准确,4245,4.245
old,OPSD Step1192,opsd_step1192,B_single_zero,信息内容表达清晰,4371,4.371
old,OPSD Step1192,opsd_step1192,B_single_zero,交流流畅,4389,4.389
old,OPSD Step1192,opsd_step1192,B_single_zero,情感表达恰当,4195,4.195
old,OPSD Step1192,opsd_step1192,B_single_zero,风格恰当,4088,4.088
old,OPSD Step1192,opsd_step1192,B_single_zero,社会智能,4349,4.349
old,OPSD Step1192,opsd_step1192,C_whole_zero,整体满意度,3679,3.679
old,OPSD Step1192,opsd_step1192,C_whole_zero,对话意愿,3718,3.718
old,OPSD Step1192,opsd_step1192,C_whole_zero,情绪愉悦度,3648,3.648
old,OPSD Step1192,opsd_step1192,C_whole_zero,意图判断准确,4084,4.084
old,OPSD Step1192,opsd_step1192,C_whole_zero,记忆信息准确,3903,3.903
old,OPSD Step1192,opsd_step1192,C_whole_zero,信息内容表达清晰,3781,3.781
old,OPSD Step1192,opsd_step1192,C_whole_zero,交流流畅,3805,3.805
old,OPSD Step1192,opsd_step1192,C_whole_zero,情感表达恰当,3716,3.716
old,OPSD Step1192,opsd_step1192,C_whole_zero,风格恰当,3755,3.755
old,OPSD Step1192,opsd_step1192,C_whole_zero,社会智能,3801,3.801
old,OPSD Step900,opsd_step900,A_raw,整体满意度,4445,4.445
old,OPSD Step900,opsd_step900,A_raw,对话意愿,4466,4.466
old,OPSD Step900,opsd_step900,A_raw,情绪愉悦度,4352,4.352
old,OPSD Step900,opsd_step900,A_raw,意图判断准确,4938,4.938
old,OPSD Step900,opsd_step900,A_raw,记忆信息准确,4531,4.531
old,OPSD Step900,opsd_step900,A_raw,信息内容表达清晰,4542,4.542
old,OPSD Step900,opsd_step900,A_raw,交流流畅,4522,4.522
old,OPSD Step900,opsd_step900,A_raw,情感表达恰当,4458,4.458
old,OPSD Step900,opsd_step900,A_raw,风格恰当,4455,4.455
old,OPSD Step900,opsd_step900,A_raw,社会智能,4525,4.525
old,OPSD Step900,opsd_step900,B_single_zero,整体满意度,4421,4.421
old,OPSD Step900,opsd_step900,B_single_zero,对话意愿,4463,4.463
old,OPSD Step900,opsd_step900,B_single_zero,情绪愉悦度,4208,4.208
old,OPSD Step900,opsd_step900,B_single_zero,意图判断准确,4921,4.921
old,OPSD Step900,opsd_step900,B_single_zero,记忆信息准确,4217,4.217
old,OPSD Step900,opsd_step900,B_single_zero,信息内容表达清晰,4542,4.542
old,OPSD Step900,opsd_step900,B_single_zero,交流流畅,4501,4.501
old,OPSD Step900,opsd_step900,B_single_zero,情感表达恰当,4359,4.359
old,OPSD Step900,opsd_step900,B_single_zero,风格恰当,4353,4.353
old,OPSD Step900,opsd_step900,B_single_zero,社会智能,4471,4.471
old,OPSD Step900,opsd_step900,C_whole_zero,整体满意度,3847,3.847
old,OPSD Step900,opsd_step900,C_whole_zero,对话意愿,3861,3.861
old,OPSD Step900,opsd_step900,C_whole_zero,情绪愉悦度,3796,3.796
old,OPSD Step900,opsd_step900,C_whole_zero,意图判断准确,4235,4.235
old,OPSD Step900,opsd_step900,C_whole_zero,记忆信息准确,4027,4.027
old,OPSD Step900,opsd_step900,C_whole_zero,信息内容表达清晰,3905,3.905
old,OPSD Step900,opsd_step900,C_whole_zero,交流流畅,3923,3.923
old,OPSD Step900,opsd_step900,C_whole_zero,情感表达恰当,3883,3.883
old,OPSD Step900,opsd_step900,C_whole_zero,风格恰当,3876,3.876
old,OPSD Step900,opsd_step900,C_whole_zero,社会智能,3935,3.935
old,Qwen3.5-9B 原版,qwen35_9b_base,A_raw,整体满意度,4209,4.209
old,Qwen3.5-9B 原版,qwen35_9b_base,A_raw,对话意愿,4198,4.198
old,Qwen3.5-9B 原版,qwen35_9b_base,A_raw,情绪愉悦度,4123,4.123
old,Qwen3.5-9B 原版,qwen35_9b_base,A_raw,意图判断准确,4784,4.784
old,Qwen3.5-9B 原版,qwen35_9b_base,A_raw,记忆信息准确,4205,4.205
old,Qwen3.5-9B 原版,qwen35_9b_base,A_raw,信息内容表达清晰,4520,4.52
old,Qwen3.5-9B 原版,qwen35_9b_base,A_raw,交流流畅,4174,4.174
old,Qwen3.5-9B 原版,qwen35_9b_base,A_raw,情感表达恰当,4136,4.136
old,Qwen3.5-9B 原版,qwen35_9b_base,A_raw,风格恰当,4314,4.314
old,Qwen3.5-9B 原版,qwen35_9b_base,A_raw,社会智能,4195,4.195
old,Qwen3.5-9B 原版,qwen35_9b_base,B_single_zero,整体满意度,4135,4.135
old,Qwen3.5-9B 原版,qwen35_9b_base,B_single_zero,对话意愿,4153,4.153
old,Qwen3.5-9B 原版,qwen35_9b_base,B_single_zero,情绪愉悦度,3945,3.945
old,Qwen3.5-9B 原版,qwen35_9b_base,B_single_zero,意图判断准确,4724,4.724
old,Qwen3.5-9B 原版,qwen35_9b_base,B_single_zero,记忆信息准确,3456,3.456
old,Qwen3.5-9B 原版,qwen35_9b_base,B_single_zero,信息内容表达清晰,4507,4.507
old,Qwen3.5-9B 原版,qwen35_9b_base,B_single_zero,交流流畅,4000,4.0
old,Qwen3.5-9B 原版,qwen35_9b_base,B_single_zero,情感表达恰当,3869,3.869
old,Qwen3.5-9B 原版,qwen35_9b_base,B_single_zero,风格恰当,4164,4.164
old,Qwen3.5-9B 原版,qwen35_9b_base,B_single_zero,社会智能,3955,3.955
old,Qwen3.5-9B 原版,qwen35_9b_base,C_whole_zero,整体满意度,3027,3.027
old,Qwen3.5-9B 原版,qwen35_9b_base,C_whole_zero,对话意愿,3010,3.01
old,Qwen3.5-9B 原版,qwen35_9b_base,C_whole_zero,情绪愉悦度,2978,2.978
old,Qwen3.5-9B 原版,qwen35_9b_base,C_whole_zero,意图判断准确,3452,3.452
old,Qwen3.5-9B 原版,qwen35_9b_base,C_whole_zero,记忆信息准确,3244,3.244
old,Qwen3.5-9B 原版,qwen35_9b_base,C_whole_zero,信息内容表达清晰,3201,3.201
old,Qwen3.5-9B 原版,qwen35_9b_base,C_whole_zero,交流流畅,3029,3.029
old,Qwen3.5-9B 原版,qwen35_9b_base,C_whole_zero,情感表达恰当,3014,3.014
old,Qwen3.5-9B 原版,qwen35_9b_base,C_whole_zero,风格恰当,3123,3.123
old,Qwen3.5-9B 原版,qwen35_9b_base,C_whole_zero,社会智能,3064,3.064
